points
4,83,11
2,89,10
10,79,8
7,16,88
1,91,8
23,71,85
36,85,79
40,38,18
2,88,10
72,32,44
3,82,10
9,77,8
7,14,86
2,89,7
1,91,7
22,70,83
36,84,77
42,39,17
1,88,9
3,83,8
10,75,7
6,14,85
1,88,8
2,89,6
21,70,82
36,83,77
40,38,17
1,89,11
2,91,7
72,31,44
1,90,6
2,82,8
3,90,9
10,76,6
1,89,5
20,69,85
37,83,78
39,38,14
2,88,5
70,31,44
1,80,6
3,90,7
5,13,83
2,89,5
1,89,4
19,68,85
37,82,78
69,29,43
1,91,6
1,80,5
3,90,6
4,15,81
17,68,85
38,81,79
37,38,13
3,89,5
2,78,4
68,26,43
2,91,6
9,74,8
3,16,81
1,90,5
2,81,3
17,68,84
37,81,80
38,39,13
1,91,5
2,79,4
68,26,45
3,79,6
10,74,7
2,16,81
2,89,3
1,78,4
18,67,85
36,81,80
36,37,13
67,28,45
2,81,4
3,79,5
10,73,5
1,15,82
3,78,6
2,77,6
18,67,84
36,79,81
35,34,12
2,80,5
66,27,44
2,77,7
3,80,4
9,74,4
1,16,81
1,89,2
2,80,3
3,78,4
35,79,81
36,34,12
1,88,6
65,29,44
4,80,5
3,81,4
8,74,3
1,90,2
2,82,2
2,79,3
17,67,85
35,82,80
38,35,12
2,81,2
66,29,44
3,79,3
3,80,3
2,14,81
2,88,2
2,81,1
1,80,3
4,78,3
15,68,83
34,82,80
38,36,10
63,28,43
2,79,1
8,73,4
3,13,81
3,88,1
1,78,5
12,67,82
34,81,79
37,35,6
62,27,42
4,77,1
3,78,2
7,74,4
2,12,80
3,76,1
2,78,2
13,66,82
34,80,77
35,33,6
4,79,3
59,26,40
3,79,2
2,76,2
5,73,3
2,12,82
4,77,2
1,78,2
5,77,1
12,66,81
31,78,76
33,34,4
2,78,1
4,78,1
59,24,40
2,77,2
5,79,1
3,78,1
7,74,2
3,12,81
7,79,1
13,67,80
30,78,77
32,33,4
58,23,42
6,75,1
2,11,82
5,79,2
14,67,79
30,76,76
31,34,3
57,22,43
4,78,2
6,72,1
3,10,81
1,87,1
6,77,1
14,66,79
29,75,77
31,33,2
54,22,43
5,77,2
6,80,2
2,10,79
6,81,2
6,79,3
13,65,78
29,73,77
30,34,1
5,80,1
54,20,43
6,80,1
1,85,2
30,74,77
28,72,76
13,65,79
30,73,76
29,73,76
28,72,77
53,19,43
29,73,75
6,70,1
15,63,78
11,64,77
12,65,78
14,63,78
13,64,79
29,34,1
52,18,42
11,65,78
5,70,2
1,9,79
1,85,3
10,65,76
10,65,78
11,64,79
10,64,78
12,64,77
11,67,77
51,17,40
3,77,2
4,69,2
52,18,40
11,65,77
11,66,79
10,65,77
2,68,1
2,10,78
12,65,76
11,63,79
11,62,76
10,63,76
12,63,77
9,64,75
11,65,76
3,77,1
9,64,76
1,68,1
2,10,77
9,62,77
8,64,77
8,63,75
8,65,75
7,65,77
8,62,77
7,65,73
8,62,78
2,75,1
3,75,1
1,8,77
7,63,74
6,63,72
6,63,74
7,67,75
8,65,76
8,64,75
6,65,75
8,64,76
5,64,75
1,74,2
6,66,75
7,62,72
6,60,71
6,64,75
4,65,75
7,66,75
6,66,74
7,66,73
7,58,71
1,74,1
2,7,77
5,60,71
3,61,69
5,59,71
6,65,74
9,65,74
7,67,72
6,64,74
5,66,75
4,66,73
6,58,70
4,66,75
1,68,2
4,57,71
3,58,71
5,57,72
4,65,74
6,64,73
2,67,73
7,62,73
4,66,74
3,57,71
3,65,77
1,66,2
3,58,70
4,58,70
3,58,69
6,62,71
7,62,71
2,64,76
7,61,72
3,64,77
2,58,69
3,63,78
2,6,76
2,56,69
1,56,69
1,55,69
8,59,73
1,61,77
8,62,71
4,63,78
5,61,78
2,56,67
1,5,74
3,57,68
3,58,68
8,61,70
8,62,70
2,64,77
7,60,72
4,62,76
1,62,78
4,58,66
3,62,79
1,66,1
1,5,72
3,56,68
3,56,69
2,53,66
7,59,71
6,60,70
3,61,79
2,62,78
3,55,68
4,62,78
2,5,71
3,56,67
1,55,66
6,60,68
7,59,70
2,61,78
5,62,76
4,61,78
3,53,69
2,4,71
3,55,67
3,55,63
3,53,65
8,58,72
7,55,70
2,62,77
7,57,70
3,61,77
2,61,77
2,55,66
2,62,79
3,54,65
3,53,64
2,55,64
7,55,68
9,56,70
3,62,78
7,56,70
1,61,79
3,60,78
2,53,64
2,61,79
1,2,70
1,53,65
1,52,65
